Time,h1,h2,h3,h4,v1,v2
4.800600075009376155e+01,1.677692487944339823e-03,7.040575921685062778e-03,1.839959228796739753e-03,8.484403320599232662e-03,1.500000000000000000e+00,5.000000000000000000e-01
4.900612576572071788e+01,1.677692487146924304e-03,7.040575932541709957e-03,1.839959228132750707e-03,8.484403339690914023e-03,1.500000000000000000e+00,5.000000000000000000e-01
5.000625078134767421e+01,1.677692486476846812e-03,7.040575944559339903e-03,1.839959227574792947e-03,8.484403358032060333e-03,1.500000000000000000e+00,5.000000000000000000e-01
5.100637579697462343e+01,1.677692485918606726e-03,7.040575957666903549e-03,1.839959227109958179e-03,8.484403375643398068e-03,1.500000000000000000e+00,5.000000000000000000e-01
5.200650081260157975e+01,1.677692485457682242e-03,7.040575971787201362e-03,1.839959226726157982e-03,8.484403392544370009e-03,1.500000000000000000e+00,5.000000000000000000e-01
5.300662582822852897e+01,1.677692485080635324e-03,7.040575986837307489e-03,1.839959226412199705e-03,8.484403408753313919e-03,1.500000000000000000e+00,5.000000000000000000e-01
5.400675084385548530e+01,1.677692484775164181e-03,7.040576002729141344e-03,1.839959226157840888e-03,8.484403424287609990e-03,1.500000000000000000e+00,5.000000000000000000e-01
5.500687585948244163e+01,1.677692484530149235e-03,7.040576019370144156e-03,1.839959225953820493e-03,8.484403439163847385e-03,1.500000000000000000e+00,5.000000000000000000e-01
5.600700087510939085e+01,1.677692484335648136e-03,7.040576036664059588e-03,1.839959225791865625e-03,8.484403453397935252e-03,1.500000000000000000e+00,5.000000000000000000e-01
5.700712589073634717e+01,1.677692484182901830e-03,7.040576054511805439e-03,1.839959225664677001e-03,8.484403467005250180e-03,1.500000000000000000e+00,5.000000000000000000e-01
5.800725090636329639e+01,1.677692484064271031e-03,7.040576072812401720e-03,1.839959225565896426e-03,8.484403480000745484e-03,1.500000000000000000e+00,5.000000000000000000e-01
5.900737592199025272e+01,1.677692483973193711e-03,7.040576091463964653e-03,1.839959225490057351e-03,8.484403492399046620e-03,1.500000000000000000e+00,5.000000000000000000e-01
6.000750093761720905e+01,1.677692483904095339e-03,7.040576110364695460e-03,1.839959225432521561e-03,8.484403504214556996e-03,1.500000000000000000e+00,5.000000000000000000e-01
6.100762595324415827e+01,1.677692483852314927e-03,7.040576129413904719e-03,1.839959225389405876e-03,8.484403515461536038e-03,1.500000000000000000e+00,5.000000000000000000e-01
